order_number,client_id,price,date,name,birthday,city,discount_rate,year
A036,7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,129,2022-05-07,Клиент 42,1975-09-23,Санкт-Петербург,37,2022
A037,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,646,2022-08-27,Клиент 5,2009-09-19,Москва,36,2022
A038,86f52483-c6ca-4832-9adb-d838c21bf8ca,241,2022-09-23,Клиент 46,2010-06-20,Омск,41,2022
A039,3c22aa6b-5f58-4c99-a6b0-6d240b5b6374,350,2022-09-14,Клиент 48,1972-01-26,Новосибирск,28,2022
A040,474ffbab-5bed-4667-951c-c7d09e1b0acf,818,2022-04-11,Клиент 57,1986-12-20,Новосибирск,28,2022
A041,d2fdd32e-6735-4125-bf84-3534d0b46dd1,400,2022-09-14,Клиент 36,1957-11-17,Новосибирск,28,2022
A042,b589fbac-5841-4a78-a8c0-d70dc041200d,681,2022-02-17,Клиент 44,2005-08-18,Рязань,30,2022
A043,3fb4e004-de74-4ce3-9180-90e1788f7dfb,889,2022-10-01,Клиент 22,1996-07-09,Москва,36,2022
A044,575eab93-45c1-4327-b57b-ad359da78ac5,457,2022-11-08,Клиент 55,1959-10-09,Рязань,30,2022
A045,40b78282-b558-486c-b0d3-0d6ff84dc360,411,2022-08-31,Клиент 81,1999-03-22,Москва,36,2022
A046,3c22aa6b-5f58-4c99-a6b0-6d240b5b6374,454,2022-08-16,Клиент 48,1972-01-26,Новосибирск,28,2022
A047,6e9f3596-24ff-424c-bd77-82d8a9aa0ddc,367,2022-06-12,Клиент 38,1952-01-25,Санкт-Петербург,37,2022
A048,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,475,2022-03-19,Клиент 5,2009-09-19,Москва,36,2022
A049,e960b580-dfab-4ade-8775-573f51141494,232,2022-06-27,Клиент 69,1997-11-22,Новосибирск,28,2022
A050,b2a7a983-fbcc-4c0e-8a73-8ae2fb29990f,875,2022-02-25,Клиент 83,1969-05-08,Санкт-Петербург,37,2022
A051,314ed1d0-b8a0-4c9b-84e0-1d66d678db68,711,2022-09-28,Клиент 56,1958-03-14,Москва,36,2022
A052,f308f5d4-98c6-4786-9463-8991e21faed4,512,2022-07-05,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A053,cad18e62-8520-4e08-99d9-73aa46dcf71a,456,2022-10-07,Клиент 77,1975-05-07,Москва,36,2022
A054,c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,342,2022-12-05,Клиент 30,1966-11-10,Рязань,30,2022
A055,293223d7-ce1d-4963-9749-c097e2440abf,930,2022-04-11,Клиент 13,1961-11-20,Рязань,30,2022
A056,3a63dc54-4171-44df-b611-05fc6835799e,62,2022-05-13,Клиент 68,2004-11-14,Москва,36,2022
A057,40b78282-b558-486c-b0d3-0d6ff84dc360,252,2022-03-03,Клиент 81,1999-03-22,Москва,36,2022
A058,293223d7-ce1d-4963-9749-c097e2440abf,674,2022-11-20,Клиент 13,1961-11-20,Рязань,30,2022
A059,1751f1a2-7c0f-40d1-ac31-31e49122f7be,31,2022-09-08,Клиент 91,1951-03-03,Рязань,30,2022
A060,b2772ad1-2a59-4be3-bd10-d92e9c2b39ab,774,2022-05-15,Клиент 84,1978-11-09,Рязань,30,2022
A061,3fb4e004-de74-4ce3-9180-90e1788f7dfb,830,2022-07-21,Клиент 22,1996-07-09,Москва,36,2022
A062,655155c0-6c6d-476c-9de0-c29b2c6917d5,451,2022-01-18,Клиент 88,1962-04-18,Москва,36,2022
A063,1cbd1897-fb4d-42b4-be34-42340bacdd12,668,2022-04-25,Клиент 99,1977-04-08,Санкт-Петербург,37,2022
A064,7d794c88-a26e-42a4-95ce-96868208d95a,855,2022-10-20,Клиент 32,1957-05-23,Омск,41,2022
A065,44fa35b5-c799-463e-bcb4-a460ae4c3290,729,2022-02-11,Клиент 70,1989-09-15,Омск,41,2022
A066,a4c0cac6-c545-4305-b420-a425fba9bce7,301,2022-04-30,Клиент 37,1963-02-06,Москва,36,2022
A067,655155c0-6c6d-476c-9de0-c29b2c6917d5,903,2022-05-18,Клиент 88,1962-04-18,Москва,36,2022
A068,3fb4e004-de74-4ce3-9180-90e1788f7dfb,556,2022-01-07,Клиент 22,1996-07-09,Москва,36,2022
A069,40b78282-b558-486c-b0d3-0d6ff84dc360,943,2022-08-01,Клиент 81,1999-03-22,Москва,36,2022
A070,c95a8db2-1ef2-48a7-8357-0eee018d636c,681,2022-03-14,Клиент 6,1962-09-08,Рязань,30,2022
A071,216d9c79-b849-4826-ba8f-9711ba0fcefa,212,2022-01-10,Клиент 31,1955-06-22,Рязань,30,2022
A072,28bdef79-d755-4faa-bfe1-e520abd42e56,782,2022-04-25,Клиент 94,2004-10-22,Москва,36,2022
A073,e960b580-dfab-4ade-8775-573f51141494,884,2022-12-06,Клиент 69,1997-11-22,Новосибирск,28,2022
A074,b2772ad1-2a59-4be3-bd10-d92e9c2b39ab,367,2022-03-11,Клиент 84,1978-11-09,Рязань,30,2022
A075,575eab93-45c1-4327-b57b-ad359da78ac5,958,2022-01-24,Клиент 55,1959-10-09,Рязань,30,2022
A076,206e5437-09af-4235-aa67-85003a57f2f2,873,2022-03-23,Клиент 80,1977-12-02,Рязань,30,2022
A077,a216b9bf-45d6-4c67-a1c8-bf5688a8a6fc,348,2022-06-29,Клиент 26,1976-05-10,Рязань,30,2022
A078,cad18e62-8520-4e08-99d9-73aa46dcf71a,64,2022-12-02,Клиент 77,1975-05-07,Москва,36,2022
A079,28bdef79-d755-4faa-bfe1-e520abd42e56,735,2022-09-16,Клиент 94,2004-10-22,Москва,36,2022
A080,62612b69-051a-4e9c-9570-5b0aea82bb2d,823,2022-12-21,Клиент 64,1959-03-29,Новосибирск,28,2022
A081,2dda0e1a-69fc-4894-ae3e-83e4081526ac,478,2022-06-20,Клиент 23,1983-10-22,Новосибирск,28,2022
A082,206e5437-09af-4235-aa67-85003a57f2f2,719,2022-07-02,Клиент 80,1977-12-02,Рязань,30,2022
A083,cf8abd58-0113-409a-b3ec-579cef6e046d,963,2022-02-27,Клиент 11,2010-04-11,Рязань,30,2022
A084,cf8abd58-0113-409a-b3ec-579cef6e046d,791,2022-04-12,Клиент 11,2010-04-11,Рязань,30,2022
A085,1cbd1897-fb4d-42b4-be34-42340bacdd12,456,2022-05-20,Клиент 99,1977-04-08,Санкт-Петербург,37,2022
A086,bc8ed658-2b87-4abf-832e-f047088492bd,717,2022-10-14,Клиент 45,1982-08-10,Омск,41,2022
A087,4e666f67-ebc4-4d8a-9132-3c183c729ccc,301,2022-08-13,Клиент 24,2006-04-20,Рязань,30,2022
A088,5cfd7dd7-44f3-45ac-9dbe-9519450b107f,843,2022-05-11,Клиент 43,1960-07-06,Рязань,30,2022
A089,384f440d-bd59-4c27-8e2a-0bad07d0a670,443,2022-06-01,Клиент 73,1952-04-02,Омск,41,2022
A090,86f52483-c6ca-4832-9adb-d838c21bf8ca,18,2022-07-15,Клиент 46,2010-06-20,Омск,41,2022
A091,cad18e62-8520-4e08-99d9-73aa46dcf71a,568,2022-06-17,Клиент 77,1975-05-07,Москва,36,2022
A092,cf8abd58-0113-409a-b3ec-579cef6e046d,495,2022-01-16,Клиент 11,2010-04-11,Рязань,30,2022
A093,7b807838-eeeb-4f72-bf0d-b03ef684d4c4,378,2022-01-17,Клиент 65,2010-12-22,Москва,36,2022
A094,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,572,2022-07-09,Клиент 5,2009-09-19,Москва,36,2022
A095,eb993948-9104-4f2e-bec1-d02ad867f8ad,692,2022-07-05,Клиент 87,1967-04-20,Омск,41,2022
A096,216d9c79-b849-4826-ba8f-9711ba0fcefa,787,2022-12-02,Клиент 31,1955-06-22,Рязань,30,2022
A097,1d35f8c6-40b9-4e0c-9355-4150182a3991,721,2022-10-31,Клиент 33,2004-05-05,Омск,41,2022
A098,72634e02-e4ec-46f4-a542-7c8712f219f8,117,2022-01-31,Клиент 18,1966-05-25,Санкт-Петербург,37,2022
A099,950e0357-06da-4291-83ac-1884b17567cb,89,2022-06-28,Клиент 97,1959-03-25,Москва,36,2022
A100,cb49a63e-2fc8-49df-a08d-c34adc4a6da4,20,2022-05-02,Клиент 89,1960-07-07,Москва,36,2022
A101,dc33f6e5-41a4-41f1-9d2a-c80eb625d03f,233,2022-08-03,Клиент 62,1999-10-22,Москва,36,2022
A102,ad84dff0-e508-418f-a979-f8ab512d7d8b,771,2022-10-06,Клиент 28,1999-07-01,Рязань,30,2022
A103,dc33f6e5-41a4-41f1-9d2a-c80eb625d03f,754,2022-10-11,Клиент 62,1999-10-22,Москва,36,2022
A104,bc8ed658-2b87-4abf-832e-f047088492bd,819,2022-10-14,Клиент 45,1982-08-10,Омск,41,2022
A105,7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,842,2022-08-01,Клиент 42,1975-09-23,Санкт-Петербург,37,2022
A106,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,19,2022-11-29,Клиент 19,1976-03-08,Москва,36,2022
A107,ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,66,2022-05-10,Клиент 51,1963-06-11,Москва,36,2022
A108,314ed1d0-b8a0-4c9b-84e0-1d66d678db68,878,2022-01-18,Клиент 56,1958-03-14,Москва,36,2022
A109,db935903-dd3e-4960-85d8-9ea5335b6f29,691,2022-08-07,Клиент 95,1995-05-07,Омск,41,2022
A110,3fb4e004-de74-4ce3-9180-90e1788f7dfb,473,2022-06-23,Клиент 22,1996-07-09,Москва,36,2022
A111,655155c0-6c6d-476c-9de0-c29b2c6917d5,199,2022-08-03,Клиент 88,1962-04-18,Москва,36,2022
A112,815fbf47-4a93-4bd1-8165-4d59a9945990,612,2022-03-28,Клиент 50,1995-01-25,Новосибирск,28,2022
A113,ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,770,2022-07-11,Клиент 51,1963-06-11,Москва,36,2022
A114,44fa35b5-c799-463e-bcb4-a460ae4c3290,780,2022-07-14,Клиент 70,1989-09-15,Омск,41,2022
A115,72634e02-e4ec-46f4-a542-7c8712f219f8,17,2022-06-28,Клиент 18,1966-05-25,Санкт-Петербург,37,2022
A116,cfd9538b-14c5-4324-b26c-b1c3e05a2a92,846,2022-09-13,Клиент 15,2005-01-02,Рязань,30,2022
A117,3a63dc54-4171-44df-b611-05fc6835799e,988,2022-07-17,Клиент 68,2004-11-14,Москва,36,2022
A118,815fbf47-4a93-4bd1-8165-4d59a9945990,790,2022-09-24,Клиент 50,1995-01-25,Новосибирск,28,2022
A119,3c22aa6b-5f58-4c99-a6b0-6d240b5b6374,373,2022-05-22,Клиент 48,1972-01-26,Новосибирск,28,2022
A120,1751f1a2-7c0f-40d1-ac31-31e49122f7be,634,2022-07-26,Клиент 91,1951-03-03,Рязань,30,2022
A121,f308f5d4-98c6-4786-9463-8991e21faed4,677,2022-08-18,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A122,b589fbac-5841-4a78-a8c0-d70dc041200d,745,2022-01-15,Клиент 44,2005-08-18,Рязань,30,2022
A123,c95a8db2-1ef2-48a7-8357-0eee018d636c,259,2022-04-10,Клиент 6,1962-09-08,Рязань,30,2022
A124,1cbd1897-fb4d-42b4-be34-42340bacdd12,397,2022-03-14,Клиент 99,1977-04-08,Санкт-Петербург,37,2022
A125,8980b13b-efe6-42ed-9fc8-53a7ab626a91,574,2022-01-05,Клиент 86,1980-01-13,Москва,36,2022
A126,fda8a72b-0d3e-4a40-85c6-9137d7d86ba0,442,2022-07-26,Клиент 1,1980-11-18,Новосибирск,28,2022
A127,72634e02-e4ec-46f4-a542-7c8712f219f8,840,2022-08-20,Клиент 18,1966-05-25,Санкт-Петербург,37,2022
A128,216d9c79-b849-4826-ba8f-9711ba0fcefa,172,2022-08-18,Клиент 31,1955-06-22,Рязань,30,2022
A129,cad18e62-8520-4e08-99d9-73aa46dcf71a,486,2022-02-11,Клиент 77,1975-05-07,Москва,36,2022
A130,655155c0-6c6d-476c-9de0-c29b2c6917d5,598,2022-08-05,Клиент 88,1962-04-18,Москва,36,2022
A131,86f52483-c6ca-4832-9adb-d838c21bf8ca,250,2022-02-26,Клиент 46,2010-06-20,Омск,41,2022
A132,3a63dc54-4171-44df-b611-05fc6835799e,101,2022-05-08,Клиент 68,2004-11-14,Москва,36,2022
A133,b16a7054-5b4b-4adb-83af-ad6dd132c28f,358,2022-12-27,Клиент 52,1973-01-19,Рязань,30,2022
A134,50eae8f1-6a18-42d7-b04e-7e1fc5ba2e20,505,2022-08-18,Клиент 71,1995-09-25,Москва,36,2022
A135,2dda0e1a-69fc-4894-ae3e-83e4081526ac,441,2022-04-27,Клиент 23,1983-10-22,Новосибирск,28,2022
A136,d66e24bb-0415-438a-bfdf-5c3d993bb48a,446,2022-02-24,Клиент 29,1966-08-06,Омск,41,2022
A137,3f95cb87-c246-42eb-98d8-c398e4d07a62,340,2022-08-13,Клиент 21,1972-05-12,Новосибирск,28,2022
A138,4e666f67-ebc4-4d8a-9132-3c183c729ccc,501,2022-10-23,Клиент 24,2006-04-20,Рязань,30,2022
A139,cb49a63e-2fc8-49df-a08d-c34adc4a6da4,773,2022-01-23,Клиент 89,1960-07-07,Москва,36,2022
A140,bc6cd679-a1c3-4002-89f0-9d3f77725b1b,426,2022-01-25,Клиент 34,1954-12-26,Новосибирск,28,2022
A141,314ed1d0-b8a0-4c9b-84e0-1d66d678db68,310,2022-05-06,Клиент 56,1958-03-14,Москва,36,2022
A142,29976bd7-d71a-43a6-9404-f3b5e920d76e,162,2022-11-20,Клиент 66,1979-10-12,Омск,41,2022
A143,50eae8f1-6a18-42d7-b04e-7e1fc5ba2e20,655,2022-12-27,Клиент 71,1995-09-25,Москва,36,2022
A144,d4fe3772-7d19-40a0-a868-ee003cceeaf4,43,2022-08-30,Клиент 74,1973-01-03,Новосибирск,28,2022
A145,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,918,2022-05-17,Клиент 5,2009-09-19,Москва,36,2022
A146,bc6cd679-a1c3-4002-89f0-9d3f77725b1b,599,2022-03-01,Клиент 34,1954-12-26,Новосибирск,28,2022
A147,b2772ad1-2a59-4be3-bd10-d92e9c2b39ab,80,2022-01-17,Клиент 84,1978-11-09,Рязань,30,2022
A148,0fb7f7c5-d239-429b-b402-1bec6aa72b2d,623,2022-11-04,Клиент 5,2009-09-19,Москва,36,2022
A149,d84c1eb1-f5e9-41c8-9c8d-4d27c137721c,898,2022-01-04,Клиент 63,1985-04-08,Новосибирск,28,2022
A150,6a7f3add-e606-4442-8fb4-e6d0f1fb5096,995,2022-04-09,Клиент 2,2002-02-17,Рязань,30,2022
A151,c84a18f7-171a-4dfd-8f50-c61bca9f805c,593,2022-11-19,Клиент 16,2006-09-30,Новосибирск,28,2022
A152,ba596613-2837-4f10-b401-ddc1638ef6c3,554,2022-10-25,Клиент 7,1998-07-30,Рязань,30,2022
A153,7b807838-eeeb-4f72-bf0d-b03ef684d4c4,589,2022-03-20,Клиент 65,2010-12-22,Москва,36,2022
A154,db935903-dd3e-4960-85d8-9ea5335b6f29,289,2022-04-26,Клиент 95,1995-05-07,Омск,41,2022
A155,4512f211-9c1b-4b27-b4b4-5df451cc6066,443,2022-06-06,Клиент 9,2008-08-02,Санкт-Петербург,37,2022
A156,815fbf47-4a93-4bd1-8165-4d59a9945990,379,2022-11-16,Клиент 50,1995-01-25,Новосибирск,28,2022
A157,eb993948-9104-4f2e-bec1-d02ad867f8ad,752,2022-07-06,Клиент 87,1967-04-20,Омск,41,2022
A158,1b6bce7c-8a6d-474d-853c-dcdc73191cce,70,2022-03-16,Клиент 78,1995-01-05,Санкт-Петербург,37,2022
A159,5cfd7dd7-44f3-45ac-9dbe-9519450b107f,534,2022-07-10,Клиент 43,1960-07-06,Рязань,30,2022
A160,3f95cb87-c246-42eb-98d8-c398e4d07a62,45,2022-09-17,Клиент 21,1972-05-12,Новосибирск,28,2022
A161,ab313ab0-dd5d-4eaa-a3f7-06df35ddb1d5,93,2022-10-27,Клиент 51,1963-06-11,Москва,36,2022
A162,44fa35b5-c799-463e-bcb4-a460ae4c3290,994,2022-01-10,Клиент 70,1989-09-15,Омск,41,2022
A163,3c22aa6b-5f58-4c99-a6b0-6d240b5b6374,663,2022-06-03,Клиент 48,1972-01-26,Новосибирск,28,2022
A164,384f440d-bd59-4c27-8e2a-0bad07d0a670,853,2022-08-19,Клиент 73,1952-04-02,Омск,41,2022
A165,c84a18f7-171a-4dfd-8f50-c61bca9f805c,873,2022-02-11,Клиент 16,2006-09-30,Новосибирск,28,2022
A166,62c7bb24-ebc3-4de0-b965-2e0ca78ae3fd,604,2022-05-07,Клиент 40,1969-09-10,Новосибирск,28,2022
A167,bc6cd679-a1c3-4002-89f0-9d3f77725b1b,126,2022-07-07,Клиент 34,1954-12-26,Новосибирск,28,2022
A168,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,487,2022-03-04,Клиент 19,1976-03-08,Москва,36,2022
A169,cb49a63e-2fc8-49df-a08d-c34adc4a6da4,975,2022-07-12,Клиент 89,1960-07-07,Москва,36,2022
A170,bc8ed658-2b87-4abf-832e-f047088492bd,302,2022-08-03,Клиент 45,1982-08-10,Омск,41,2022
A171,226c4242-cb78-4f14-a0b3-e3d47f971e65,334,2022-08-27,Клиент 90,1987-08-01,Омск,41,2022
A172,66323dee-d8fc-4b07-a07e-93dc31a3425c,302,2022-07-20,Клиент 14,1989-11-30,Новосибирск,28,2022
A173,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,228,2022-01-17,Клиент 19,1976-03-08,Москва,36,2022
A174,28bdef79-d755-4faa-bfe1-e520abd42e56,787,2022-12-25,Клиент 94,2004-10-22,Москва,36,2022
A175,12f1803f-28d6-40d2-bb08-443fcf71a6bd,415,2022-10-13,Клиент 59,1976-08-24,Москва,36,2022
A176,206e5437-09af-4235-aa67-85003a57f2f2,166,2022-06-05,Клиент 80,1977-12-02,Рязань,30,2022
A177,7d794c88-a26e-42a4-95ce-96868208d95a,948,2022-12-07,Клиент 32,1957-05-23,Омск,41,2022
A178,dc33f6e5-41a4-41f1-9d2a-c80eb625d03f,492,2022-05-08,Клиент 62,1999-10-22,Москва,36,2022
A179,6e9f3596-24ff-424c-bd77-82d8a9aa0ddc,426,2022-09-30,Клиент 38,1952-01-25,Санкт-Петербург,37,2022
A180,29976bd7-d71a-43a6-9404-f3b5e920d76e,896,2022-08-13,Клиент 66,1979-10-12,Омск,41,2022
A181,763531f3-1b43-4a55-ab3a-80b05320b7c3,708,2022-11-02,Клиент 20,1978-12-09,Рязань,30,2022
A182,f308f5d4-98c6-4786-9463-8991e21faed4,614,2022-02-13,Клиент 98,1980-05-21,Санкт-Петербург,37,2022
A183,b88d78ab-90f2-4401-bd9d-6f57a8eca5c3,923,2022-01-02,Клиент 19,1976-03-08,Москва,36,2022
A184,8980b13b-efe6-42ed-9fc8-53a7ab626a91,135,2022-10-07,Клиент 86,1980-01-13,Москва,36,2022
A185,40b78282-b558-486c-b0d3-0d6ff84dc360,382,2022-06-09,Клиент 81,1999-03-22,Москва,36,2022
A186,763531f3-1b43-4a55-ab3a-80b05320b7c3,253,2022-03-08,Клиент 20,1978-12-09,Рязань,30,2022
A187,4512f211-9c1b-4b27-b4b4-5df451cc6066,460,2022-12-05,Клиент 9,2008-08-02,Санкт-Петербург,37,2022
A188,9ced20f2-f69e-4f4e-8305-249c2eb111cd,731,2022-12-17,Клиент 54,1953-04-03,Санкт-Петербург,37,2022
A189,d4fe3772-7d19-40a0-a868-ee003cceeaf4,757,2022-01-23,Клиент 74,1973-01-03,Новосибирск,28,2022
A190,950e0357-06da-4291-83ac-1884b17567cb,300,2022-12-26,Клиент 97,1959-03-25,Москва,36,2022
A191,8980b13b-efe6-42ed-9fc8-53a7ab626a91,663,2022-06-08,Клиент 86,1980-01-13,Москва,36,2022
A192,7d794c88-a26e-42a4-95ce-96868208d95a,745,2022-12-15,Клиент 32,1957-05-23,Омск,41,2022
A193,984b1240-267a-44c1-b8cd-d430a7c75b01,883,2022-03-30,Клиент 72,1997-04-23,Новосибирск,28,2022
A194,adc33787-36b2-406e-aca0-7bef6436120b,322,2022-08-29,Клиент 27,1960-07-07,Омск,41,2022
A195,2dda0e1a-69fc-4894-ae3e-83e4081526ac,462,2022-01-02,Клиент 23,1983-10-22,Новосибирск,28,2022
A196,86f52483-c6ca-4832-9adb-d838c21bf8ca,651,2022-10-09,Клиент 46,2010-06-20,Омск,41,2022
A197,4e1fd602-c679-438f-b2c5-b359d7d1e58b,25,2022-10-29,Клиент 41,2000-12-06,Рязань,30,2022
A198,f1e1214f-eeb9-4e31-84ef-64802d6a7c78,416,2022-10-23,Клиент 96,1952-12-13,Рязань,30,2022
A199,c57a7ad9-26c4-4be0-b857-7ec1c3ba47c6,855,2022-10-13,Клиент 30,1966-11-10,Рязань,30,2022
A200,7e02d3e9-24c5-4c6a-aeb0-2d27cd681d7c,801,2022-04-30,Клиент 42,1975-09-23,Санкт-Петербург,37,2022
A201,083b6b64-cfd1-4e6d-b8c9-cfc2b2899da5,723,2022-03-21,Клиент 79,1950-07-24,Рязань,30,2022
A202,a4e6cd52-023f-4994-b6c2-d889aea4dd34,297,2022-05-23,Клиент 10,1955-10-03,Новосибирск,28,2022
A203,474ffbab-5bed-4667-951c-c7d09e1b0acf,626,2022-04-28,Клиент 57,1986-12-20,Новосибирск,28,2022
A204,083b6b64-cfd1-4e6d-b8c9-cfc2b2899da5,277,2022-01-24,Клиент 79,1950-07-24,Рязань,30,2022
A205,12f1803f-28d6-40d2-bb08-443fcf71a6bd,523,2022-10-18,Клиент 59,1976-08-24,Москва,36,2022
A206,1751f1a2-7c0f-40d1-ac31-31e49122f7be,190,2022-04-05,Клиент 91,1951-03-03,Рязань,30,2022
A207,bdeaefcc-7ac9-4e32-9de1-05ea68f361f2,271,2022-04-08,Клиент 60,1993-03-10,Санкт-Петербург,37,2022
A208,d4fe3772-7d19-40a0-a868-ee003cceeaf4,18,2022-09-06,Клиент 74,1973-01-03,Новосибирск,28,2022
A209,293223d7-ce1d-4963-9749-c097e2440abf,21,2022-04-03,Клиент 13,1961-11-20,Рязань,30,2022
A210,62612b69-051a-4e9c-9570-5b0aea82bb2d,826,2022-04-29,Клиент 64,1959-03-29,Новосибирск,28,2022
A211,216d9c79-b849-4826-ba8f-9711ba0fcefa,22,2022-04-25,Клиент 31,1955-06-22,Рязань,30,2022
A212,19f43080-29a9-446d-93d2-c85600f5fc4f,854,2022-11-12,Клиент 25,2003-08-16,Омск,41,2022
A213,226c4242-cb78-4f14-a0b3-e3d47f971e65,68,2022-05-16,Клиент 90,1987-08-01,Омск,41,2022
A214,206e5437-09af-4235-aa67-85003a57f2f2,563,2022-09-17,Клиент 80,1977-12-02,Рязань,30,2022
A215,62c7bb24-ebc3-4de0-b965-2e0ca78ae3fd,758,2022-04-07,Клиент 40,1969-09-10,Новосибирск,28,2022
A216,1751f1a2-7c0f-40d1-ac31-31e49122f7be,598,2022-10-04,Клиент 91,1951-03-03,Рязань,30,2022
