client_id,name,birthday,city
b2a7a983-fbcc-4c0e-8a73-8ae2fb29990f,Клиент 83,1969-05-08,Санкт-Петербург
b2772ad1-2a59-4be3-bd10-d92e9c2b39ab,Клиент 84,1978-11-09,Рязань
bee0c8d2-efd5-4d39-a5ac-49b65888bb43,Клиент 85,1971-02-22,Санкт-Петербург
8980b13b-efe6-42ed-9fc8-53a7ab626a91,Клиент 86,1980-01-13,Москва
eb993948-9104-4f2e-bec1-d02ad867f8ad,Клиент 87,1967-04-20,Омск
655155c0-6c6d-476c-9de0-c29b2c6917d5,Клиент 88,1962-04-18,Москва
cb49a63e-2fc8-49df-a08d-c34adc4a6da4,Клиент 89,1960-07-07,Москва
226c4242-cb78-4f14-a0b3-e3d47f971e65,Клиент 90,1987-08-01,Омск
1751f1a2-7c0f-40d1-ac31-31e49122f7be,Клиент 91,1951-03-03,Рязань
dcade44c-a70a-4da4-8d8c-55d8417d12bf,Клиент 92,1959-12-15,Москва
1d782e19-845b-4810-8197-f2090722c268,Клиент 93,1979-03-01,Омск
28bdef79-d755-4faa-bfe1-e520abd42e56,Клиент 94,2004-10-22,Москва
db935903-dd3e-4960-85d8-9ea5335b6f29,Клиент 95,1995-05-07,Омск
f1e1214f-eeb9-4e31-84ef-64802d6a7c78,Клиент 96,1952-12-13,Рязань
950e0357-06da-4291-83ac-1884b17567cb,Клиент 97,1959-03-25,Москва
f308f5d4-98c6-4786-9463-8991e21faed4,Клиент 98,1980-05-21,Санкт-Петербург
1cbd1897-fb4d-42b4-be34-42340bacdd12,Клиент 99,1977-04-08,Санкт-Петербург
